,Feature name,Decision Tree,XGBoost
231,x4_ASX,7.046772487892644e-06,0.0
502,x4_Explorer,6.905465993876868e-06,0.0
1117,x4_XCeed,6.830143256497847e-06,0.0
576,x4_Grand C-MAX,6.7819300007942575e-06,0.0
1031,x4_Tourneo Custom,6.648086418666168e-06,0.0
332,x4_C5X,6.56636083442098e-06,0.0
822,x4_Q4 Sportback,6.525992230673742e-06,0.0
515,x4_Fabia,6.500399897377247e-06,0.0
319,x4_C3 Aircross,6.390097205676492e-06,0.0
588,x4_Grecale,6.329943190980075e-06,0.0
1002,x4_Talento,6.210726089718389e-06,0.0
893,x4_S8,6.166264242936644e-06,0.0
1029,x4_Tourneo Connect,6.160008686793414e-06,0.0
303,x4_Boxer,6.117311201059038e-06,0.0
1120,x4_XJ,6.047152570699428e-06,0.0
838,x4_Quattroporte,6.038733574016395e-06,0.0
624,x4_Jazz,6.024149839792813e-06,0.0
253,x4_Arkana,5.971020933089261e-06,0.0
814,x4_Puma,5.9626218145317216e-06,0.0
1227,x10_Norwegia,5.836342862409702e-06,0.0
393,x4_Clio,5.782829724840175e-06,0.0
378,x4_Cayman,5.7810756822133025e-06,0.0
182,x4_5GT,5.618484040648992e-06,0.0
916,x4_Santa Fe,5.5888089071838874e-06,0.0
295,x4_Beta,5.540732430914153e-06,0.0
1238,x10_Wielka Brytania,5.412611141054149e-06,0.0
313,x4_C-HR,5.390965758923593e-06,0.0
139,x4_280,5.377191714821974e-06,0.0
267,x4_Auris,5.358749466572258e-06,0.0
1059,x4_V40,5.355934284948025e-06,0.0
671,x4_Lancer,5.20714681338211e-06,0.0
255,x4_Arona,5.196033419667094e-06,0.0
1024,x4_Tivoli Grand,5.159072024936363e-06,0.0
843,x4_RAPID,5.097295717497705e-06,0.0
831,x4_QX50,5.023514234384098e-06,0.0
330,x4_C5,4.9303093580442925e-06,0.0
18,x3_Buick,4.896258700216446e-06,0.0
985,x4_Supra,4.854883592981601e-06,0.0
856,x4_RS7,4.8465571695278865e-06,0.0
389,x4_Citan,4.825933988459788e-06,0.0
501,x4_Expert,4.802680597027576e-06,0.0
1003,x4_Talisman,4.788879239542702e-06,0.0
889,x4_S6,4.739157587839358e-06,0.0
496,x4_Espace,4.737582714342149e-06,0.0
559,x4_Galaxy,4.647004971192538e-06,0.0
1141,x4_Yeti,4.588070482746143e-06,0.0
52,x3_Lotus,4.585045068755187e-06,0.0
331,x4_C5 Aircross,4.547711151251716e-06,0.0
134,x4_208,4.526782502338114e-06,0.0
394,x4_Clubman,4.468640083665039e-06,0.0
652,x4_Klasa R,4.457914784525573e-06,0.0
411,x4_Corsa,4.4523413359153625e-06,0.0
663,x4_L200,4.4516959861625055e-06,0.0
1099,x4_X-Trail,4.440260113708487e-06,0.0
236,x4_Accord,4.4005399445159215e-06,0.0
920,x4_Scala,4.354961976168594e-06,0.0
80,x3_Smart,4.330513211787413e-06,0.0
637,x4_Kadjar,4.272993110082624e-06,0.0
217,x4_A1,4.256802247904668e-06,0.0
810,x4_Proace City Verso,4.230744699910144e-06,0.0
1197,x8_Pomarańczowy,4.1846252415757835e-06,0.0
528,x4_Forester,4.0225297801787266e-06,0.0
977,x4_Stonic,4.00855792633816e-06,0.0
405,x4_Cooper,3.9961495628396245e-06,0.0
15,x3_BMW-ALPINA,3.979459331357663e-06,0.00012425871019859544
323,x4_C4,3.954401635472087e-06,0.0
872,x4_Rifter,3.949240038440541e-06,0.0
441,x4_DS 9,3.944372637902486e-06,0.0
570,x4_Gladiator,3.880146851489051e-06,0.0
557,x4_GX,3.853714967486342e-06,0.0
1106,x4_X4 M,3.84189808852212e-06,0.0
478,x4_Eclipse Cross,3.801631329185841e-06,0.0
304,x4_Boxster,3.7421234216754845e-06,0.0
1156,x4_i3,3.7209445197333074e-06,0.0
1001,x4_Taigo,3.711578885516846e-06,0.0
620,x4_Integra,3.6963315510925056e-06,0.0
858,x4_RX-8,3.6657087262650315e-06,0.0
174,x4_500,3.647669178802068e-06,0.0
818,x4_Q2,3.5714531796117976e-06,0.0
605,x4_ID.5,3.5661353669603497e-06,0.0
419,x4_Crossland,3.4727371813317298e-06,0.0
928,x4_Sedici,3.452866379419144e-06,0.0
593,x4_H3,3.429720406818831e-06,0.0
1131,x4_XV,3.379285848112401e-06,0.0
551,x4_GS,3.333445703031286e-06,0.0
398,x4_Combo,3.322591026220425e-06,0.0
22,x3_Chrysler,3.2931696576850104e-06,0.0
921,x4_Scenic,3.2269498457458987e-06,0.0
562,x4_Garbus,3.221201057037645e-06,0.0
888,x4_S5,3.1998134181704226e-06,0.0
999,x4_Tacoma,3.1994715623735995e-06,0.0
644,x4_Karmann Ghia,3.1885462339015983e-06,0.0
1144,x4_Z3,3.116810241086799e-06,0.0
723,x4_Master,3.0959446162428667e-06,0.0
660,x4_Korando,3.0895281853087603e-06,0.0
113,x4_131,3.041576432006793e-06,0.0
271,x4_Avensis,2.9413802813960915e-06,0.0
1004,x4_Tarraco,2.9167183465292103e-06,0.0
766,x4_OUTBACK,2.9078099966757855e-06,0.0
732,x4_Midget,2.7983718454980054e-06,0.0
37,x3_Hummer,2.7959554441130744e-06,0.0
914,x4_Sandero,2.7781585107991743e-06,0.0
909,x4_SX4 S-Cross,2.7402366126327754e-06,0.0
1166,x4_ix35,2.7063583501567044e-06,0.0
959,x4_Skylark,2.702125129510214e-06,0.0
379,x4_Ceed,2.685909493425065e-06,0.0
181,x4_595,2.6554397377177457e-06,0.0
318,x4_C3,2.634851661154131e-06,0.0
475,x4_EV6,2.620255974175393e-06,0.0
534,x4_Freemont,2.6195463094126895e-06,0.0
854,x4_RS5,2.6107012147958533e-06,0.0
963,x4_Soul,2.592882138914051e-06,0.0
425,x4_Cruze,2.5796095076137534e-06,0.0
908,x4_SX4,2.5672658187852066e-06,0.0
1104,x4_X3 M,2.5606946696779054e-06,0.0
530,x4_Formentor,2.5497674199326775e-06,0.0
250,x4_Ampera,2.539878024249549e-06,0.0
771,x4_Optima,2.5279282448874126e-06,0.0
294,x4_Berlingo,2.5119736319822906e-06,0.0
149,x4_301,2.4987616996722547e-06,0.0
625,x4_Jetta,2.4673239446478948e-06,0.0
520,x4_Fiesta,2.430748715340134e-06,0.0
1118,x4_XE,2.380103711435261e-06,0.0
